idx,resp,keyword,wordNum
0110,they are only,ARE,1
0110,they are only,WHOLE,2
0110,they are only,BABY,3
0110,they are only,GIN,4
0111,street,BOTTLE,1
0111,street,HAD,2
0111,street,SUPER,3
0111,street,OATH,4
0112,they let Mary ,LET,1
0112,they let Mary ,MARY,2
0112,they let Mary ,DEN,3
0113,the heair heard the cat ,HAIR,1
0113,the heair heard the cat ,HEARD,2
0113,the heair heard the cat ,CALF,3
0114,the lions power ,LION,1
0114,the lions power ,WAS,2
0114,the lions power ,POWERED,3
0114,the lions power ,SIX,4
0114,the lions power ,SILK,5
0115,the big dragon ,BIG,1
0115,the big dragon ,DRAGON,2
0115,the big dragon ,KILLED,3
0115,the big dragon ,OLD,4
0115,the big dragon ,LANES,5
0116,her plans decide,PLANS,1
0116,her plans decide,DECIDE,2
0116,her plans decide,RUDE,3
0116,her plans decide,PIE,4
0117,the apples ,APPLE,1
0117,the apples ,REMARK,2
0117,the apples ,WAS,3
0117,the apples ,PULLED,4
0117,the apples ,MUGS,5
0118,the bears,BEER,1
0118,the bears,TICKING,2
0118,the bears,MEANT,3
0118,the bears,TAKING,4
0118,the bears,BLUSH,5
0119,he gave birth to desert ,GAVE,1
0119,he gave birth to desert ,BIRTH,2
0119,he gave birth to desert ,DESSERT,3
0119,he gave birth to desert ,CLOCK,4
0102,the drinkers took the spoon,LET,1
0102,the drinkers took the spoon,DRINKERS,2
0102,the drinkers took the spoon,SPOON,3
0120,he raised the dog ,RAISED,1
0120,he raised the dog ,DOG,2
0120,he raised the dog ,SWORD,3
0121,the cow,PLOW,1
0121,the cow,HAS,2
0121,the cow,WAR,3
0121,the cow,BRAIDS,4
0122,he prescribed ,PRESCRIBED,1
0122,he prescribed ,ARMORED,2
0122,he prescribed ,TOSSING,3
0122,he prescribed ,TOOK,4
0122,he prescribed ,MAP,5
0123,no,CHEWED,1
0123,no,CRASH,2
0124,my scarf made a train ,SCARF,1
0124,my scarf made a train ,MADE,2
0124,my scarf made a train ,TRAIN,3
0124,my scarf made a train ,PET,4
0125,he wore his,WORE,1
0125,he wore his,WITS,2
0103,his son,SON,1
0103,his son,WAS,2
0103,his son,INJURED,3
0103,his son,OX,4
0104,solemn ,SOLEMN,1
0104,solemn ,COFFEE,2
0104,solemn ,WAS,3
0104,solemn ,MADE,4
0104,solemn ,STEAM,5
0105,he has us look,HAS,1
0105,he has us look,LOOK,2
0105,he has us look,WAS,3
0105,he has us look,SCARED,4
0105,he has us look,COIN,5
0106,the dog,DOGS,1
0106,the dog,STIR,2
0106,the dog,DRUG,3
0107,he ,WAS,1
0107,he ,FOUGHT,2
0107,he ,HIGHWAY,3
0107,he ,LAP,4
0108,he cow tracked ,COW,1
0108,he cow tracked ,TRACKED,2
0108,he cow tracked ,BONE,3
0109,the witnesses ,WITNESSES,1
0109,the witnesses ,HOLD,2
0109,the witnesses ,SHINY,3
0109,the witnesses ,TANKS,4
0101,his doctor drank ,DOCTOR,1
0101,his doctor drank ,DRANK,2
0101,his doctor drank ,LOST,3
0101,his doctor drank ,RISK,4
0610,the widows looked black,WIDOWS,1
0610,the widows looked black,BLOODHOUND,2
0610,the widows looked black,BURNED,3
0610,the widows looked black,WAX,4
0611,he melted ,MELTED,1
0611,he melted ,WOODEN,2
0611,he melted ,DART,3
0612,the coins turned into peas,COIN,1
0612,the coins turned into peas,SWALLOWED,2
0612,the coins turned into peas,TERMITE,3
0612,the coins turned into peas,POISONED,4
0612,the coins turned into peas,BEADS,5
0613,the bread ,BREAD,1
0613,the bread ,CAN,2
0613,the bread ,BE,3
0613,the bread ,FANS,4
0614,the ,FOOTBALL,1
0614,the ,LOST,2
0614,the ,DANGEROUS,3
0614,the ,CRATES,4
0615,the doctor escaped ,DOCTOR,1
0615,the doctor escaped ,ESCAPED,2
0615,the doctor escaped ,LOW,3
0615,the doctor escaped ,FLAME,4
0616,we fished at the lake at high tide ,FISHED,1
0616,we fished at the lake at high tide ,FLAME,2
0616,we fished at the lake at high tide ,LOCAL,3
0616,we fished at the lake at high tide ,TIDE,4
0617,we charged,CHARGED,1
0617,we charged,SICK,2
0617,we charged,BAR,3
0618,the checkers ,CHECKERS,1
0618,the checkers ,PLANT,2
